,portfolio_return
2014-09-08,0.008924804489500225
2014-09-15,-0.0011051682207650476
2014-09-22,0.004638802262950982
2014-09-29,-0.010889268421216198
2014-10-06,0.010969992195026656
2014-10-13,-0.00013626752478022877
2014-10-20,-0.016516968381926234
2014-10-27,0.004876072675055932
2014-11-03,-0.012479837553825672
2014-11-10,0.007837718572289328
2014-11-17,-0.0028617566491690016
2014-11-24,0.009651854832076421
2014-12-02,-0.016698681750241487
2014-12-09,-0.010651851116048631
2014-12-16,-0.019857999469041054
2014-12-23,0.00375225782061962
2014-12-31,-0.031628619125815445
2015-01-08,-0.007948194860056218
2015-01-15,0.012513557146050456
2015-01-23,0.04868511660512751
2015-01-30,-0.014949094073817485
2015-02-06,-0.0015978727433700003
2015-02-13,0.013380948091762265
2015-02-23,-0.0026260570778419818
2015-03-02,-0.0009332059756666129
2015-03-09,0.00505075909648342
2015-03-16,0.0004889949382950907
2015-03-23,-0.01363773523206113
2015-03-30,-0.0036540376806751484
2015-04-07,-0.004790380960533462
2015-04-14,-0.00521425578985271
2015-04-21,0.009492375749384161
2015-04-28,-0.014467770550339123
2015-05-05,0.012770430886946673
2015-05-12,0.004315008782506645
2015-05-19,-0.0010364678949685577
2015-05-27,-0.001389034333398289
2015-06-03,-0.002321214511725779
2015-06-10,0.002728428104094959
2015-06-17,-0.0036028613302947063
2015-06-24,0.011480302763235542
2015-07-01,-0.004588963996018458
2015-07-09,0.0017452042044986398
2015-07-16,-0.01860452749609732
2015-07-23,0.010018979905309642
2015-07-30,0.152738120307943
2015-08-06,0.18761849444863518
2015-08-13,0.048279481420660686
2015-08-20,-0.03986161190416432
2015-08-27,0.00784083070202792
2015-09-03,-0.005724615684459447
2015-09-11,0.008324092843915172
2015-09-18,-0.02103382256339527
2015-09-25,0.0014580466841808486
2015-10-02,0.012439090550737265
2015-10-09,-0.043097261908412156
2015-10-16,-0.0011929521225331559
2015-10-23,-0.0004393714780018814
2015-10-30,0.03730801700998443
2015-11-06,0.009884078917780363
2015-11-13,-0.010361531477994464
2015-11-20,0.00401669549690506
2015-11-30,-0.0052738979947572935
